avg_travel_time,GEOID
27.04,06037199110
33.29,06037199120
39.19,06037199201
36.38,06037199202
34.7,06037199300
33.91,06037199400
32.66,06037199700
32.71,06037199801
32.71,06037199802
37.14,06037199900
37.79,06037201110
34.56,06037201120
30.13,06037201200
37.3,06037201301
37.6,06037201302
34.41,06037201401
27.86,06037201402
35.82,06037201501
35.08,06037201503
30.94,06037201504
39.53,06037201601
26.67,06037201602
32.12,06037201700
36.87,06037203100
32.26,06037203200
25.81,06037203300
32.02,06037203500
28.57,06037203601
34.16,06037203602
35.74,06037203710
32.72,06037203720
26.35,06037203800
35.82,06037203900
27.27,06037204110
35.55,06037204120
37.77,06037204200
34.82,06037204300
33.53,06037204410
35.09,06037204420
37.98,06037204600
32.32,06037204700
33.54,06037204810
32.19,06037204820
32.87,06037204910
27.43,06037204920
31.56,06037205110
33.11,06037205120
34.24,06037206010
31.08,06037206020
32.76,06037206050
35.46,06037206051
32.98,06037206052
37.71,06037206053
33.98,06037206054
34.28,06037206201
36.24,06037206202
33.25,06037206301
51.69,06037206302
51.15,06037206303
34.11,06037207101
35.34,06037207102
24.79,06037207103
34.59,06037207303
37.02,06037207304
36.39,06037207305
34.75,06037207306
24.56,06037207307
35.73,06037207308
27.11,06037207400
31.42,06037207501
35.48,06037207502
26.47,06037207711
29.31,06037207712
40.9,06037207901
27.99,06037207902
33.23,06037208001
36.62,06037208002
37.27,06037208301
41.59,06037208302
38.55,06037208401
36.94,06037208402
33.23,06037208501
37.18,06037208502
40.81,06037208610
36.83,06037208620
35.06,06037208710
41.07,06037208720
35.7,06037208801
35.97,06037208802
45.93,06037208902
41.66,06037208903
38.61,06037208904
40.32,06037209103
37.5,06037209104
35.23,06037209105
32.47,06037209106
26.78,06037209201
42.41,06037209202
34.43,06037209300
38.96,06037209401
40.72,06037209402
48.89,06037209403
32.34,06037209510
39.57,06037209520
36.95,06037209810
38.28,06037209820
41.76,06037210010
30.73,06037211000
32.01,06037211121
32.99,06037211122
29.34,06037211123
31.01,06037211124
33.22,06037211201
36.89,06037211202
40.25,06037211310
38.44,06037211320
27.43,06037211410
40.58,06037211420
33.71,06037211500
32.05,06037211701
34.94,06037211703
30.98,06037211704
35.82,06037211802
29.6,06037211803
30.39,06037211804
37.3,06037211910
31.73,06037211921
39.78,06037211922
37.56,06037212101
35.46,06037212102
34.31,06037212202
35.56,06037212203
34.43,06037212204
32.25,06037212303
39.12,06037212304
39.63,06037212305
30.85,06037212306
37.85,06037212410
40.44,06037212420
39.19,06037212501
33.69,06037212502
36.99,06037212610
35.48,06037212620
33.54,06037212701
25.93,06037212702
32.51,06037212800
36.12,06037212900
30.64,06037213100
36.68,06037213201
37.19,06037213202
36.3,06037213310
37.07,06037213320
37.63,06037213401
36.32,06037213402
22.11,06037214000
28.78,06037214100
37.0,06037214400
30.4,06037214501
34.99,06037214503
31.95,06037214504
31.16,06037214505
25.23,06037214600
26.51,06037214700
29.27,06037214800
28.22,06037214902
24.93,06037214903
27.28,06037214904
34.95,06037215101
32.13,06037215102
33.48,06037216100
27.26,06037216201
32.82,06037216202
34.84,06037216301
32.72,06037216302
29.27,06037216401
26.19,06037216402
33.91,06037216700
28.13,06037216800
33.31,06037216901
30.68,06037216902
26.41,06037217001
28.28,06037217002
37.2,06037217101
31.33,06037217102
35.38,06037217200
36.66,06037218110
37.15,06037218120
35.1,06037218210
35.19,06037218220
32.93,06037218300
37.68,06037218400
35.07,06037218500
39.18,06037218600
46.52,06037218701
42.26,06037218702
35.59,06037218800
30.7,06037218900
40.32,06037219010
43.03,06037219020
38.94,06037219300
36.11,06037219500
37.61,06037219700
37.19,06037219800
34.96,06037219901
34.75,06037219902
29.28,06037220000
35.35,06037220100
40.91,06037221110
35.86,06037221120
39.58,06037221210
38.29,06037221220
39.26,06037221302
36.16,06037221303
32.3,06037221304
34.17,06037221401
39.27,06037221402
42.72,06037221500
36.31,06037221601
38.13,06037221602
36.93,06037221710
41.01,06037221810
29.27,06037221820
21.11,06037221900
35.11,06037222001
36.5,06037222002
41.74,06037222100
39.15,06037222200
37.52,06037222500
29.03,06037222600
18.27,06037222700
25.53,06037224010
29.16,06037224020
33.95,06037224200
33.48,06037224310
41.52,06037224320
35.99,06037224410
33.99,06037224420
36.7,06037224600
21.3,06037224701
17.92,06037224702
34.81,06037226001
36.84,06037226002
37.91,06037226410
33.83,06037226420
44.08,06037226701
31.88,06037226702
35.27,06037227010
34.49,06037227020
34.2,06037228100
37.14,06037228210
31.69,06037228220
36.06,06037228310
41.36,06037228320
36.51,06037228410
40.01,06037228420
41.24,06037228500
44.32,06037228600
38.18,06037228710
33.98,06037228720
42.23,06037228800
37.8,06037228900
36.7,06037229100
40.01,06037229200
38.57,06037229300
36.28,06037229410
35.19,06037229420
34.17,06037231100
38.27,06037231210
36.47,06037231220
38.82,06037231301
39.88,06037231302
40.5,06037231400
33.78,06037231500
30.95,06037231601
32.53,06037231602
37.4,06037231603
37.94,06037231710
36.86,06037231720
38.26,06037231800
38.86,06037231901
40.87,06037231902
47.09,06037232110
35.65,06037232120
46.76,06037232200
42.04,06037232300
46.06,06037232401
44.0,06037232402
35.87,06037232500
46.99,06037232601
42.8,06037232602
35.21,06037232701
41.69,06037232702
35.27,06037232800
43.66,06037234001
38.41,06037234002
37.8,06037234200
31.8,06037234301
36.74,06037234302
36.02,06037234501
36.65,06037234502
35.07,06037234600
37.39,06037234700
43.88,06037234800
43.44,06037234901
47.12,06037234902
38.79,06037235100
38.72,06037235201
42.54,06037235202
33.45,06037236001
39.73,06037236101
34.53,06037236102
36.36,06037236203
35.54,06037236204
40.3,06037236205
47.19,06037236206
39.17,06037236400
39.08,06037237101
32.68,06037237102
32.39,06037237201
42.93,06037237202
37.19,06037237300
43.46,06037237401
36.96,06037237402
41.57,06037237500
43.43,06037237600
43.18,06037237710
38.89,06037237720
39.18,06037237800
41.19,06037237900
34.61,06037238000
36.69,06037238100
36.39,06037238200
38.5,06037238310
46.56,06037238320
34.85,06037238400
43.14,06037239201
46.29,06037239202
39.87,06037239310
41.48,06037239320
38.18,06037239330
43.17,06037239501
39.15,06037239502
39.84,06037239601
45.2,06037239602
37.23,06037239701
41.32,06037239702
39.59,06037239801
40.74,06037239802
41.13,06037240010
34.88,06037240020
34.84,06037240200
41.19,06037240301
43.64,06037240302
42.99,06037240401
37.93,06037240402
37.17,06037240500
37.28,06037240600
39.6,06037240700
45.7,06037240800
38.9,06037240901
28.11,06037240902
34.39,06037241001
36.15,06037241002
35.38,06037241110
45.61,06037241120
34.8,06037241201
33.85,06037241202
33.02,06037241300
28.73,06037241400
29.64,06037242000
47.87,06037242100
40.49,06037242201
48.93,06037242202
43.1,06037242300
36.81,06037242600
42.28,06037242700
30.88,06037243001
44.67,06037243002
33.72,06037243100
27.74,06037261102
27.67,06037261103
26.97,06037261104
37.52,06037261200
27.07,06037262100
31.41,06037262200
27.0,06037262301
26.01,06037262302
24.97,06037262303
25.58,06037262400
28.73,06037262501
36.51,06037262601
25.74,06037262604
28.04,06037262704
29.62,06037262706
26.98,06037262802
20.32,06037264000
24.49,06037264102
22.87,06037264103
26.39,06037264303
26.97,06037264304
28.07,06037264305
29.12,06037264306
27.64,06037265100
24.44,06037265201
21.16,06037265203
34.18,06037265204
16.06,06037265301
22.57,06037265303
20.66,06037265304
17.6,06037265306
23.16,06037265307
27.58,06037265410
19.31,06037265420
19.42,06037265521
22.59,06037265522
22.5,06037265523
