college_attainment_rate,GEOID
0.28,06037403901
0.26,06037403902
0.32,06037404000
0.12,06037404100
0.25,06037404201
0.22,06037404203
0.11,06037404301
0.19,06037404302
0.16,06037404401
0.17,06037404402
0.11,06037404501
0.25,06037404503
0.17,06037404504
0.22,06037404600
0.13,06037404701
0.21,06037404702
0.14,06037404703
0.15,06037404804
0.16,06037404805
0.12,06037404806
0.11,06037404901
0.16,06037404902
0.19,06037404903
0.13,06037405001
0.08,06037405002
0.16,06037405101
0.12,06037405102
0.18,06037405201
0.11,06037405202
0.17,06037405203
0.19,06037405301
0.2,06037405302
0.21,06037405400
0.24,06037405500
0.28,06037405600
0.23,06037405701
0.27,06037405702
0.22,06037405800
0.21,06037405900
0.21,06037406000
0.26,06037406101
0.26,06037406103
0.25,06037406201
0.44,06037406300
0.33,06037406413
0.27,06037406500
0.26,06037406601
0.17,06037406602
0.23,06037406701
0.29,06037406702
0.21,06037406801
0.21,06037406903
0.1,06037407001
0.13,06037407002
0.11,06037407101
0.12,06037407102
0.16,06037407201
0.13,06037407202
0.17,06037407301
0.09,06037407302
0.26,06037407400
0.12,06037407501
0.1,06037407502
0.09,06037407601
0.13,06037407602
0.09,06037407701
0.16,06037407702
0.15,06037407801
0.2,06037407802
0.2,06037407901
0.21,06037407902
0.27,06037408003
0.45,06037408004
0.47,06037408005
0.37,06037408006
0.23,06037408133
0.45,06037408134
0.41,06037408135
0.34,06037408136
0.3,06037408137
0.07,06037408138
0.17,06037408139
0.09,06037408140
0.13,06037408141
0.37,06037408212
0.23,06037408213
0.16,06037408301
0.27,06037408302
0.3,06037408303
0.16,06037408401
0.3,06037408402
0.46,06037408503
0.29,06037408504
0.43,06037408505
0.44,06037408623
0.53,06037408624
0.47,06037408625
0.49,06037408626
0.44,06037408627
0.55,06037408628
0.47,06037408629
0.19,06037408631
0.55,06037408703
0.32,06037408705
0.55,06037408707
0.29,06037408722
0.2,06037408724
0.34,06037408725
0.26,06037408800
0.32,06037408900
0.18,06037409000
0.18,06037409100
0.48,06037430003
0.32,06037430004
0.42,06037430005
0.26,06037430101
0.17,06037430102
0.6,06037430200
0.61,06037430301
0.51,06037430302
0.64,06037430400
0.65,06037430501
0.66,06037430502
0.75,06037430600
0.57,06037430701
0.55,06037430721
0.48,06037430723
0.6,06037430724
0.51,06037430801
0.69,06037430802
0.55,06037430803
0.35,06037430901
0.42,06037430902
0.34,06037431002
0.46,06037431003
0.43,06037431004
0.38,06037431100
0.23,06037431200
0.52,06037431300
0.35,06037431400
0.29,06037431501
0.35,06037431502
0.57,06037431600
0.61,06037431701
0.44,06037431800
0.46,06037431900
0.4,06037432001
0.5,06037432002
0.42,06037432101
0.45,06037432102
0.38,06037432201
0.29,06037432202
0.24,06037432300
0.16,06037432401
0.17,06037432402
0.27,06037432501
0.23,06037432502
0.15,06037432601
0.18,06037432602
0.15,06037432700
0.12,06037432801
0.12,06037432802
0.19,06037432901
0.2,06037432902
0.13,06037433103
0.16,06037433200
0.14,06037433302
0.13,06037433304
0.09,06037433305
0.11,06037433306
0.23,06037433307
0.13,06037433402
0.05,06037433403
0.09,06037433505
0.03,06037433506
0.2,06037433601
0.21,06037433602
0.13,06037433803
0.1,06037433804
0.13,06037433901
0.08,06037433903
0.18,06037434001
0.08,06037434003
0.13,06037434004
0.11,06037434100
0.74,06037460001
0.66,06037460002
0.67,06037460101
0.56,06037460200
0.51,06037460301
0.46,06037460302
0.57,06037460401
0.77,06037460501
0.84,06037460502
0.69,06037460601
0.73,06037460700
0.75,06037460800
0.37,06037460900
0.28,06037461000
0.51,06037461100
0.64,06037461200
0.55,06037461300
0.5,06037461400
0.51,06037461501
0.24,06037461502
0.36,06037461600
0.62,06037461700
0.34,06037461901
0.53,06037461902
0.36,06037462001
0.14,06037462002
0.37,06037462100
0.47,06037462201
0.69,06037462202
0.5,06037462301
0.45,06037462302
0.56,06037462400
0.69,06037462500
0.66,06037462600
0.49,06037462700
0.55,06037462800
0.49,06037462900
0.61,06037463000
0.53,06037463103
0.57,06037463200
0.71,06037463300
0.65,06037463400
0.74,06037463500
0.71,06037463601
0.72,06037463602
0.78,06037463700
0.76,06037463800
0.71,06037463900
0.82,06037464000
0.83,06037464101
0.75,06037464102
0.84,06037464200
0.59,06037480002
0.45,06037480011
0.44,06037480012
0.4,06037480101
0.52,06037480102
0.58,06037480201
0.59,06037480202
0.51,06037480302
0.35,06037480303
0.38,06037480304
0.57,06037480400
0.76,06037480500
0.76,06037480601
0.73,06037480602
0.72,06037480702
0.73,06037480703
0.66,06037480704
0.34,06037480802
0.4,06037480803
0.35,06037480804
0.37,06037480901
0.29,06037480902
0.34,06037480903
0.34,06037481001
0.39,06037481002
0.38,06037481101
0.35,06037481102
0.22,06037481103
0.3,06037481201
0.28,06037481203
0.25,06037481300
0.32,06037481401
0.24,06037481403
0.42,06037481404
0.46,06037481500
0.33,06037481603
0.38,06037481604
0.41,06037481605
0.28,06037481606
0.24,06037481711
0.21,06037481712
0.4,06037481713
0.18,06037481714
0.5,06037481800
0.44,06037481901
