co2_metric_tons_per_household,GEOID
2.664,06037212101
1.832,06037212102
2.691,06037212202
1.47,06037212203
2.46,06037212204
2.01,06037212303
1.832,06037212304
2.489,06037212305
2.667,06037212306
2.572,06037212410
2.734,06037212420
2.514,06037212501
2.714,06037212502
2.72,06037212610
2.508,06037212620
3.562,06037212701
3.551,06037212702
3.375,06037212800
3.039,06037212900
3.375,06037213100
2.59,06037213201
2.883,06037213202
2.859,06037213310
2.116,06037213320
2.687,06037213401
2.73,06037213402
3.529,06037214000
3.827,06037214100
3.227,06037214400
2.826,06037214501
3.301,06037214502
3.218,06037214503
3.422,06037214600
3.379,06037214700
3.471,06037214800
2.611,06037214901
3.051,06037214902
2.721,06037215101
2.617,06037215102
3.783,06037216100
3.48,06037216200
3.662,06037216300
3.056,06037216401
3.253,06037216402
3.374,06037216700
3.81,06037216800
3.034,06037216900
3.524,06037217001
3.418,06037217002
3.306,06037217100
3.229,06037217200
3.176,06037218110
3.233,06037218120
3.214,06037218210
2.893,06037218220
3.042,06037218300
3.42,06037218400
3.082,06037218500
3.587,06037218600
3.342,06037218701
2.731,06037218702
3.469,06037218800
2.711,06037218900
3.562,06037219010
3.215,06037219020
2.833,06037219300
3.178,06037219500
3.287,06037219700
2.847,06037219800
3.263,06037219901
3.479,06037219902
3.0,06037220000
2.83,06037220100
2.385,06037221110
2.971,06037221120
3.154,06037221210
3.006,06037221220
3.228,06037221302
2.8,06037221303
3.386,06037221304
1.983,06037221401
2.659,06037221402
2.781,06037221500
3.144,06037221601
2.797,06037221602
2.738,06037221710
2.245,06037221810
2.206,06037221820
1.917,06037221900
3.745,06037222001
3.262,06037222002
2.994,06037222100
2.977,06037222200
3.366,06037222500
2.764,06037222600
2.004,06037222700
1.443,06037224010
1.98,06037224020
2.839,06037224200
2.214,06037224310
2.659,06037224320
2.906,06037224410
2.209,06037224420
3.059,06037224600
2.188,06037224700
3.101,06037226001
3.061,06037226410
3.099,06037226420
3.395,06037226700
3.414,06037227010
3.523,06037227020
4.084,06037228100
3.039,06037228210
3.339,06037228220
3.434,06037228310
3.163,06037228320
3.543,06037228410
3.308,06037228420
3.157,06037228500
3.311,06037228600
3.109,06037228710
3.348,06037228720
3.28,06037228800
2.259,06037228900
3.808,06037229100
3.29,06037229200
3.439,06037229300
3.094,06037229410
3.485,06037229420
2.378,06037231100
2.531,06037231210
2.46,06037231220
2.879,06037231300
3.014,06037231400
3.441,06037231500
2.901,06037231600
2.317,06037231710
2.717,06037231720
3.107,06037231800
2.724,06037231900
2.58,06037232110
3.155,06037232120
2.962,06037232200
3.366,06037232300
3.272,06037232400
2.796,06037232500
2.838,06037232600
2.995,06037232700
2.997,06037232800
3.188,06037234000
2.816,06037234200
2.222,06037234300
2.805,06037234501
2.16,06037234502
3.016,06037234600
2.361,06037234700
3.086,06037234800
1.965,06037234901
2.526,06037234902
3.491,06037235100
3.058,06037235201
2.363,06037235202
1.874,06037236100
2.068,06037236202
2.522,06037236203
1.844,06037236204
3.07,06037236400
2.891,06037237101
2.856,06037237102
3.268,06037237201
3.161,06037237202
2.854,06037237300
3.128,06037237401
3.272,06037237402
2.584,06037237500
2.914,06037237600
2.789,06037237710
2.882,06037237720
3.167,06037237800
2.95,06037237900
3.056,06037238000
2.916,06037238100
2.726,06037238200
2.478,06037238310
2.763,06037238320
3.28,06037238400
3.405,06037239201
3.458,06037239202
3.38,06037239310
3.481,06037239320
3.544,06037239330
3.406,06037239501
3.27,06037239502
3.249,06037239601
3.117,06037239602
3.431,06037239701
2.732,06037239702
3.693,06037239801
3.158,06037239802
2.872,06037240010
3.623,06037240020
3.208,06037240200
2.891,06037240300
3.166,06037240401
3.066,06037240402
3.266,06037240500
3.521,06037240600
3.198,06037240700
3.423,06037240800
3.501,06037240900
3.165,06037241001
3.338,06037241002
3.293,06037241110
2.759,06037241120
3.34,06037241201
2.766,06037241202
