B19013_001E,geoid
59821,06037300503
98457,06037300601
127583,06037300602
138631,06037300701
146541,06037300702
113509,06037300800
160425,06037300901
154722,06037300902
118843,06037301000
84249,06037301100
81800,06037301203
65665,06037301204
108571,06037301205
83932,06037301206
191750,06037301300
126442,06037301400
118125,06037301501
71016,06037301502
40617,06037301601
77813,06037301602
100438,06037301701
81173,06037301702
67145,06037301801
84265,06037301802
82898,06037301901
97344,06037301902
56510,06037302002
61250,06037302003
59250,06037302004
110893,06037302102
58611,06037302103
81490,06037302104
35109,06037302201
48917,06037302202
93203,06037302301
60234,06037302302
72005,06037302401
48378,06037302503
43924,06037302504
70903,06037302505
76208,06037302506
169705,06037310100
101677,06037310201
104844,06037310202
137955,06037310300
110197,06037310400
73324,06037310501
85091,06037310601
94186,06037310602
25664,06037310701
74107,06037310703
60849,06037310704
46146,06037310705
98478,06037310800
112883,06037310900
114516,06037311000
99472,06037311100
88750,06037311200
115776,06037311300
136354,06037311400
131071,06037311500
105095,06037311601
84535,06037311602
115000,06037311700
85682,06037311801
103321,06037311802
110967,06037320101
87039,06037320102
72569,06037320201
109750,06037320202
73080,06037320300
199583,06037400205
179474,06037400206
143000,06037400207
154238,06037400208
147500,06037400209
90078,06037400304
147670,06037400402
141667,06037400403
180757,06037400404
122083,06037400501
85369,06037400602
96845,06037400603
98850,06037400605
124401,06037400801
130764,06037401001
87634,06037401002
80161,06037401101
99773,06037401102
139450,06037401201
107750,06037401202
106592,06037401203
136019,06037401303
134516,06037401304
93036,06037401311
71667,06037401312
92708,06037401500
98786,06037401601
79740,06037401602
135339,06037401705
92353,06037401706
73250,06037401707
158189,06037401801
133676,06037401802
86429,06037401901
101723,06037401902
76136,06037402001
84940,06037402002
102162,06037402101
103006,06037402102
93393,06037402200
92578,06037402301
68389,06037402303
46199,06037402304
88099,06037402403
-666666666,06037402404
96500,06037402405
84750,06037402406
57206,06037402501
66500,06037402503
34679,06037402504
77125,06037402601
66382,06037402602
52484,06037402702
90486,06037402703
103401,06037402705
104500,06037402706
76034,06037402801
76467,06037402803
59988,06037402804
75119,06037402902
61285,06037402903
86974,06037402904
95403,06037403000
124432,06037403305
92926,06037403316
112697,06037403317
119620,06037403318
82554,06037403319
156250,06037403320
99409,06037403321
90306,06037403323
102025,06037403324
115461,06037403325
136875,06037403326
131563,06037403327
102853,06037403328
120027,06037403401
109333,06037403402
151094,06037403403
141591,06037403404
161667,06037403407
137936,06037403408
125078,06037403409
120341,06037403500
115858,06037403601
120391,06037403702
122628,06037403703
89435,06037403721
70665,06037403722
90250,06037403801
89030,06037403802
118523,06037403901
84301,06037403902
112830,06037404000
81602,06037404100
71346,06037404201
85250,06037404203
83625,06037404301
86063,06037404302
79931,06037404401
96392,06037404402
63958,06037404501
101188,06037404503
75439,06037404504
113250,06037404600
95143,06037404701
78786,06037404702
91083,06037404703
80640,06037404804
65708,06037404805
75237,06037404806
107276,06037404901
81161,06037404902
82847,06037404903
79851,06037405001
73958,06037405002
80585,06037405101
70972,06037405102
68214,06037405201
67022,06037405202
87692,06037405203
76314,06037405301
95956,06037405302
111121,06037405400
92382,06037405500
91838,06037405600
88023,06037405701
87959,06037405702
97896,06037405800
80357,06037405900
107958,06037406000
83636,06037406101
90614,06037406103
54471,06037406201
101565,06037406300
102278,06037406413
99901,06037406500
123268,06037406601
105350,06037406602
95400,06037406701
91646,06037406702
108894,06037406801
80827,06037406903
89844,06037407001
105508,06037407002
66250,06037407101
90927,06037407102
87279,06037407201
90682,06037407202
79153,06037407301
86154,06037407302
126458,06037407400
77931,06037407501
110625,06037407502
93031,06037407601
104597,06037407602
72050,06037407701
102607,06037407702
100500,06037407801
121194,06037407802
