B25018_001E,geoid
3.3,06037199002
4.3,06037199110
4.2,06037199120
3.4,06037199201
4.1,06037199202
4.7,06037199300
3.9,06037199400
3.9,06037199700
3.6,06037199801
3.9,06037199802
3.2,06037199900
5.2,06037201110
4.3,06037201120
4.5,06037201200
4.9,06037201301
4.1,06037201302
4.7,06037201401
5.2,06037201402
4.8,06037201501
3.7,06037201503
4.6,06037201504
4.4,06037201601
4.7,06037201602
4.4,06037201700
4.1,06037203100
4.0,06037203200
3.8,06037203300
4.0,06037203500
3.6,06037203601
4.1,06037203602
4.2,06037203710
3.6,06037203720
4.1,06037203800
4.6,06037203900
4.1,06037204110
4.4,06037204120
3.4,06037204200
4.0,06037204300
3.6,06037204410
3.4,06037204420
4.0,06037204600
4.2,06037204700
4.2,06037204810
4.2,06037204820
4.0,06037204910
4.4,06037204920
3.8,06037205110
4.1,06037205120
3.5,06037206010
3.0,06037206020
3.6,06037206050
1.4,06037206051
2.0,06037206052
2.8,06037206053
4.3,06037206054
2.0,06037206201
1.6,06037206202
-666666666.0,06037206301
-666666666.0,06037206302
1.3,06037206303
2.8,06037207101
2.9,06037207102
3.1,06037207103
1.3,06037207303
1.4,06037207304
1.4,06037207305
1.3,06037207306
1.3,06037207307
1.4,06037207308
2.9,06037207400
3.1,06037207501
1.8,06037207502
2.4,06037207711
1.5,06037207712
2.2,06037207901
2.2,06037207902
2.9,06037208001
3.6,06037208002
2.7,06037208301
3.1,06037208302
3.0,06037208401
3.2,06037208402
3.2,06037208501
2.7,06037208502
3.4,06037208610
2.8,06037208620
3.0,06037208710
1.9,06037208720
2.2,06037208801
2.5,06037208802
1.9,06037208902
1.7,06037208903
1.5,06037208904
1.5,06037209103
1.5,06037209104
1.4,06037209105
2.2,06037209106
2.5,06037209201
1.5,06037209202
1.4,06037209300
2.2,06037209401
1.4,06037209402
1.4,06037209403
3.3,06037209510
1.9,06037209520
1.7,06037209810
1.9,06037209820
2.7,06037210010
5.7,06037211000
3.0,06037211121
2.7,06037211122
2.5,06037211123
2.9,06037211124
3.1,06037211201
2.8,06037211202
2.3,06037211310
3.0,06037211320
2.8,06037211410
2.8,06037211420
3.8,06037211500
3.8,06037211701
2.5,06037211703
2.8,06037211704
2.8,06037211802
2.8,06037211803
2.9,06037211804
2.6,06037211910
2.3,06037211921
2.5,06037211922
2.7,06037212101
2.4,06037212102
2.8,06037212202
1.8,06037212203
2.3,06037212204
1.4,06037212303
1.8,06037212304
2.8,06037212305
3.4,06037212306
3.0,06037212410
2.9,06037212420
3.0,06037212501
2.0,06037212502
3.0,06037212610
2.9,06037212620
4.2,06037212701
4.4,06037212702
4.2,06037212800
3.2,06037212900
3.7,06037213100
3.1,06037213201
3.7,06037213202
3.6,06037213310
3.0,06037213320
2.9,06037213401
2.9,06037213402
6.3,06037214000
4.8,06037214100
4.0,06037214400
3.3,06037214501
3.7,06037214503
3.6,06037214504
3.2,06037214505
4.3,06037214600
4.8,06037214700
4.7,06037214800
3.5,06037214902
3.2,06037214903
3.6,06037214904
2.9,06037215101
3.1,06037215102
5.7,06037216100
3.8,06037216201
3.9,06037216202
6.2,06037216301
3.6,06037216302
3.5,06037216401
4.1,06037216402
4.3,06037216700
5.6,06037216800
5.4,06037216901
4.0,06037216902
4.9,06037217001
3.9,06037217002
4.0,06037217101
3.8,06037217102
4.1,06037217200
3.9,06037218110
4.0,06037218120
3.8,06037218210
4.1,06037218220
4.2,06037218300
4.5,06037218400
4.0,06037218500
3.9,06037218600
4.0,06037218701
4.1,06037218702
4.2,06037218800
3.6,06037218900
4.8,06037219010
4.2,06037219020
3.9,06037219300
5.2,06037219500
4.3,06037219700
3.9,06037219800
3.6,06037219901
4.0,06037219902
4.2,06037220000
4.2,06037220100
2.4,06037221110
3.3,06037221120
3.9,06037221210
3.6,06037221220
3.2,06037221302
3.3,06037221303
3.6,06037221304
3.2,06037221401
3.5,06037221402
3.4,06037221500
3.7,06037221601
3.6,06037221602
3.5,06037221710
3.0,06037221810
3.2,06037221820
3.6,06037221900
4.8,06037222001
4.2,06037222002
4.1,06037222100
3.8,06037222200
4.2,06037222500
4.2,06037222600
3.5,06037222700
1.4,06037224010
2.6,06037224020
3.4,06037224200
2.9,06037224310
1.8,06037224320
3.5,06037224410
1.6,06037224420
3.4,06037224600
2.8,06037224701
3.1,06037224702
3.9,06037226001
-666666666.0,06037226002
3.6,06037226410
4.0,06037226420
4.3,06037226701
4.6,06037226702
4.6,06037227010
4.4,06037227020
4.4,06037228100
4.4,06037228210
4.7,06037228220
4.1,06037228310
4.4,06037228320
4.3,06037228410
4.6,06037228420
4.3,06037228500
4.9,06037228600
4.3,06037228710
4.8,06037228720
4.5,06037228800
4.5,06037228900
5.2,06037229100
4.5,06037229200
4.3,06037229300
4.3,06037229410
4.5,06037229420
4.0,06037231100
3.6,06037231210
3.5,06037231220
3.5,06037231301
4.4,06037231302
4.1,06037231400
5.2,06037231500
4.4,06037231601
4.8,06037231602
4.0,06037231603
3.9,06037231710
3.6,06037231720
4.0,06037231800
4.3,06037231901
3.9,06037231902
4.3,06037232110
4.6,06037232120
4.9,06037232200
